from,to,relation,source
Ahnemueller,AFD,10,3
Ahnemueller,IBDE,3,3
Ahnemueller,IBDE,4,3
Altmieks,HDJ,6,2
Altmieks,IBDE,12,1
Altmieks,IBDE,9,2
AR,EPL,3,2
AR,RF,3,2
Arppe,AFD,8,3
Arppe,AFD,16,2
Arppe,Fiss,3,2
Arppe,IBDE,3,3
Arppe,IBDE,13,3
ASVerlag,IBDE,99,1
Augener,IBDE,1,1
Augustin,AFD,10,2
Austin,IBDE,8,3
Austin,JA,10,3
Beckamp,AFD,10,3
Beckamp,IBDE,3,3
Beckamp,IBDE,7,3
BNA,IBDE,99,1
Borrmann,VerlagA,11,5
Bothe,AFD,99,3
Bothe,IBDE,3,3
Braun,AFD,10,3
Braun,IBDE,3,3
Brodbeck,IBDE,8,3
Brodbeck,JA,1,3
Bussmann,IBDE,8,3
Bussmann,JA,10,3
Bystron,AFD,9,3
Bystron,AFD,10,2
Bystron,IBDE,3,3
Bystron,IBDE,4,3
Bystron,PIN,3,2
Bystron,WeberA,2,2
Camus,VerlagA,11,5
Classen,AR,11,2
deBenoist,VerlagA,11,5
deMontherland,VerlagA,11,5
Dittmer,IBDE,1,1
DiTullio,VerlagA,11,5
Donavan,VerlagA,11,5
Duke,IBDE,99,1
Elbin,IBDE,1,1
Elsaesser,CP,12,2
Elsaesser,SZS,3,2
EPL,IBDE,99,1
Faetke,AFD,1,3
Faetke,IBDE,3,3
Faetke,IBDE,7,3
Fernau,VerlagA,11,5
Fiss,Augustin,3,2
Fiss,IBDE,15,2
Fiss,JN,16,2
Gerber,IBDE,1,1
Gerlich,VerlagA,11,5
Hackmann,IBDE,13,1
Haerle,AFD,10,3
Haerle,IBDE,3,3
Haerle,IBDE,4,3
Heidegger,VerlagA,11,5
Hilde,CP,3,2
Hilde,EPL,3,2
Hinz,VerlagA,11,5
Hoecke,AFD,10,2
Hoecke,IFS,3,2
Hoecke,SUWA,6,2
Hoffgaard,AFD,2,2
Hoffgaard,IBDE,3,2
Hohm,IBDE,8,3
Hohm,JA,1,3
Hohmann,AFD,9,3
Hohmann,IBDE,3,3
Homilius,CP,12,2
IBB,IBDE,99,1
IBDE,AR,3,2
IBDE,KK,12,2
IBOE,EPL,3,2
IFS,SUWA,12,2
IFS,SZS,12,2
IFS,SZSDE,12,2
Jaecker,IBDE,8,3
Jaecker,JA,1,3
JF,IBDE,3,2
KaiserB,VerlagA,11,5
Kaupert,AFD,3,2
Kaupert,MK,2,2
Kaupert,Sellner,3,2
Kirchner,AFD,10,3
Kirchner,IBDE,3,3
Kirchner,IBDE,7,3
KleineHartlage,VerlagA,11,5
Kneller,AFD,10,2
Kneller,AR,3,2
Koenig,AFD,8,3
Koenig,IBDE,3,3
Koenig,IBDE,7,3
